7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;GOAL
0;0;2;0.5;2;0.5;0;0;0;0;0;0;2
0;0;0;0;3;0.33;0;0;0;0;0;0;1
0;0;0;0;2;0;0;0;0;0;1;1;1
0;0;1;1;3;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;3;1;4;0.25;0;0;0;0;0;0;4
0;0;1;1;8;0.38;0;0;0;0;0;0;4
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;8;0.38;0;0;1;0;0;0;4
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
0;0;0;0;3;0;0;0;0;0;0;0;0
0;0;3;1;4;1;0;0;0;0;0;0;7
0;0;2;0.5;2;0;0;0;0;0;0;0;1
0;0;1;0;0;0;0;0;0;0;0;0;0
0;0;4;0.5;2;0.5;0;0;0;0;0;0;3
0;0;0;0;2;0;0;0;0;0;0;0;0
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;3;1;8;0.5;0;0;0;0;0;0;7
0;0;1;0;7;0.57;0;0;0;0;0;0;4
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;3;0.67;0;0;0;0;0;0;3
0;0;3;0.33;0;0;0;0;0;0;0;0;1
0;0;1;1;2;0;0;0;0;0;0;0;1
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;2;0.5;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2;0.5;7;0.57;0;0;0;0;1;1;6
0;0;1;0;8;0.38;0;0;0;0;2;1;5
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;1;0;4;0.25;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;1;10;0.6;0;0;0;0;0;0;7
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;0;0;4;0.25;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;5;0.6;10;0.6;0;0;0;0;0;0;9
0;0;2;0.5;9;0.56;0;0;0;0;0;0;6
0;0;1;1;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;2;1;4;0.25;0;0;0;0;0;0;3
0;0;0;0;2;0.5;0;0;0;0;0;0;1
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;0;2;0;0;0;0;0;0;0;0
0;0;0;0;1;1;0;0;0;0;0;0;1
0;0;0;0;4;0.25;0;0;0;0;0;0;1
